Order_ID,Customer_Name,City,Region,Category,Product,Quantity,Unit_Price,Total_Sales,Profit,Payment_Method,Order_Date
ORD00050,Sierra Padilla,North Shannonfurt,North,Electronics,Tablet,3,4856,14568,4233.95,UPI,2024-09-28
ORD00051,Margaret Holloway,North Kevin,North,Sports,Gym Gloves,6,2669,16014,2547.8,Net Banking,2025-06-07
ORD00052,Christopher Parker,Toddmouth,South,Sports,Cricket Bat,5,463,2315,525.96,Card,2024-01-02
ORD00053,Michael Clark,South Robert,East,Groceries,Rice,6,2671,16026,3459.16,Card,2024-05-07
ORD00054,Anna Keller,Port Pamela,West,Groceries,Bread,7,2522,17654,3329.6,Net Banking,2024-07-15
ORD00055,Francisco Brown,Roseland,East,Furniture,Sofa,7,4588,32116,8299.78,Cash,2024-11-07
ORD00056,Dr. Sara Pittman,Jamesburgh,West,Groceries,Bread,8,3719,29752,4776.38,Cash,2024-08-06
ORD00057,John Jackson,Port Tammyton,East,Electronics,Tablet,9,2845,25605,1878.04,Cash,2024-08-28
ORD00058,Annette Branch,East Jasontown,North,Furniture,Table,1,478,478,53.16,Net Banking,2025-05-01
ORD00059,Nathan Ho,New Rachel,North,Groceries,Milk,7,4149,29043,4353.93,UPI,2024-05-31
ORD00060,Sean Martinez,New Ashleeview,South,Groceries,Milk,3,4343,13029,2164.61,UPI,2025-07-24
ORD00061,Sandra Nicholson,Timothyburgh,East,Groceries,Milk,8,4451,35608,10574.62,Net Banking,2025-09-01
ORD00062,David Chan,South Bradleyside,West,Sports,Gym Gloves,9,3752,33768,9262.63,Card,2025-05-01
ORD00063,Matthew Reid,Curtisborough,West,Furniture,Sofa,9,4069,36621,7569.09,UPI,2024-10-08
ORD00064,Amy Lowery,Jamesmouth,North,Clothing,Jeans,5,2851,14255,1852.11,Cash,2025-07-07
ORD00065,Paul Gonzalez,Lorimouth,West,Furniture,Table,7,1351,9457,2143.0,Net Banking,2024-03-06
ORD00066,John Davis,Brandytown,West,Clothing,Shoes,7,610,4270,434.3,UPI,2025-03-06
ORD00067,Jessica Meyer,South Vanessa,West,Sports,Gym Gloves,8,148,1184,338.25,Net Banking,2024-11-01
ORD00068,Robert Stone,Lake Anthonytown,North,Sports,Cricket Bat,8,1897,15176,1794.32,Net Banking,2025-05-12
ORD00069,Kenneth Mills,Heatherborough,North,Clothing,Shoes,3,3928,11784,3298.17,Net Banking,2025-09-29
ORD00070,Elizabeth Baldwin,Garciabury,South,Sports,Football,2,3611,7222,606.11,UPI,2025-04-17
ORD00071,Daniel Smith,Deborahshire,West,Clothing,Shoes,6,1833,10998,1800.1,Card,2024-12-11
ORD00072,Meghan Miller,North Derekville,North,Groceries,Bread,2,3952,7904,433.5,Card,2025-07-06
ORD00073,Nicolas Graham,Ballardhaven,North,Furniture,Chair,1,354,354,101.74,Cash,2024-07-23
ORD00074,Alexander Jackson,Moralesport,West,Furniture,Table,8,1037,8296,1584.47,Card,2024-08-11
ORD00075,Olivia Garcia,Lake Cynthiaton,East,Clothing,Jeans,10,1038,10380,2537.37,UPI,2024-06-16
ORD00076,Karen Williams,Port Andrew,West,Sports,Football,5,4816,24080,5281.63,Cash,2025-01-19
ORD00077,Emma Long,North Joshuaburgh,North,Electronics,Phone,2,2570,5140,1349.63,UPI,2025-09-06
ORD00078,David Bowers,Petersonchester,North,Clothing,Shoes,6,664,3984,703.14,Net Banking,2024-12-15
ORD00079,Elizabeth Davis,New Shaun,South,Groceries,Rice,7,3067,21469,4484.79,Net Banking,2025-04-15
ORD00080,Dustin Goodwin MD,Michaelland,West,Furniture,Sofa,10,4508,45080,10984.21,Card,2025-04-21
ORD00081,David Mendez,West Jacquelinemouth,West,Clothing,Jeans,2,2384,4768,1289.3,Net Banking,2024-09-06
ORD00082,Tina Smith,Petersonside,East,Clothing,T-Shirt,8,2762,22096,2109.28,Card,2024-08-05
ORD00083,Brianna Harper,Mckeeton,South,Clothing,Jacket,10,2363,23630,4464.84,UPI,2025-06-13
ORD00084,Clifford Barker,Fisherview,West,Furniture,Bed,8,4648,37184,8907.1,Net Banking,2025-12-08
ORD00085,Megan Bautista,Rileyland,South,Groceries,Rice,2,2510,5020,529.1,Card,2025-12-09
ORD00086,Robert Ellis,North Ian,East,Sports,Tennis Racket,8,4634,37072,6774.18,Card,2025-03-11
ORD00087,Gabriela Brown,Port Anna,East,Groceries,Bread,5,2159,10795,1161.91,UPI,2024-07-16
ORD00088,Eric Kelly,Francofort,East,Sports,Cricket Bat,4,1872,7488,1757.07,UPI,2024-10-10
ORD00089,Robert Hicks,Moonberg,South,Furniture,Sofa,4,3056,12224,1159.57,Card,2024-01-15
ORD00090,Linda Aguilar,Port Nancy,West,Electronics,Laptop,9,2493,22437,5033.84,UPI,2024-05-09
ORD00091,Gabriela Pratt,Kathyburgh,North,Electronics,Tablet,8,4021,32168,5150.65,Card,2024-07-07
ORD00092,Michael Lewis,West Susanmouth,North,Groceries,Rice,2,3382,6764,1169.74,Cash,2025-08-13
ORD00093,Lindsay Schmitt,New Amy,South,Furniture,Sofa,2,2133,4266,339.63,Net Banking,2025-03-02
ORD00094,Patricia Malone,North Charles,North,Groceries,Eggs,5,4921,24605,7320.18,UPI,2024-11-08
ORD00095,Amanda Wheeler,Lydiahaven,North,Furniture,Table,5,765,3825,341.44,Cash,2024-06-26
ORD00096,Jennifer Ryan,New Williamburgh,South,Electronics,Headphones,8,4964,39712,6650.89,Card,2024-02-03
ORD00097,Jordan Moore,Caseyfurt,South,Clothing,Shoes,2,2012,4024,1130.65,Net Banking,2025-10-02
ORD00098,James Castro,Elizabethport,North,Electronics,Phone,3,2276,6828,1752.46,Cash,2024-03-14
ORD00099,Ronald Alvarado,West Jessica,West,Clothing,Jacket,8,1118,8944,1495.21,Card,2024-11-07
ORD00100,Vanessa Black,West Jenniferfort,East,Sports,Gym Gloves,8,758,6064,1209.82,Card,2025-03-18
ORD00101,Michael Thomas,Jonesmouth,East,Electronics,Laptop,4,4812,19248,3787.64,UPI,2024-01-22
ORD00102,Austin Gardner,Lake Samuel,West,Furniture,Bed,9,3722,33498,9346.55,Net Banking,2024-07-04
ORD00103,David Oneal,West Noah,North,Electronics,Headphones,6,3445,20670,2755.87,Cash,2025-11-17
ORD00104,Holly Garcia,North Connorview,North,Clothing,Shoes,8,2461,19688,4245.64,Net Banking,2025-02-14
ORD00105,Dr. Eric Berry,Smithshire,North,Electronics,Tablet,5,2748,13740,1085.19,Net Banking,2025-02-17
ORD00106,Jordan Neal,West Theresa,West,Groceries,Rice,4,4347,17388,2442.05,UPI,2025-05-25
ORD00107,Jack Robinson,Villarrealton,West,Furniture,Sofa,9,1173,10557,2976.21,UPI,2025-03-24
ORD00108,Christopher Vega,New Herbertmouth,West,Electronics,Phone,3,2645,7935,1489.48,UPI,2025-07-19
ORD00109,Patrick Le,South Anthony,West,Furniture,Chair,8,1062,8496,1800.54,Card,2024-06-06
ORD00110,Scott Rush,Port Mark,West,Sports,Tennis Racket,7,4052,28364,8369.11,Cash,2024-09-06
ORD00111,Monica Cardenas,Reynoldsmouth,North,Groceries,Milk,10,4263,42630,10085.11,Card,2024-05-19
ORD00112,Charles Turner,Brownview,East,Groceries,Bread,9,2288,20592,5253.79,Net Banking,2024-10-16
ORD00113,Kevin Bolton,East Ariel,West,Furniture,Bed,9,4067,36603,4988.29,Net Banking,2025-07-19
ORD00114,Taylor Jones,Parkschester,North,Clothing,Jeans,4,4784,19136,2788.93,Card,2025-02-24
ORD00115,John Allen,South Diana,South,Groceries,Eggs,7,1346,9422,1637.85,Card,2024-02-07
ORD00116,John Skinner,Wadeshire,South,Electronics,Headphones,2,4408,8816,2447.41,Net Banking,2024-01-16
ORD00117,Robert Garcia,Clarkton,West,Furniture,Chair,8,2271,18168,2446.15,UPI,2025-12-10
ORD00118,Tyler Hogan,South Ashleystad,North,Clothing,Shoes,6,4097,24582,6590.33,Cash,2024-02-06
ORD00119,Jessica Turner,East Brett,North,Clothing,Jeans,2,3655,7310,2153.41,Net Banking,2025-10-10
ORD00120,Amber Carpenter,Port Bernardstad,East,Furniture,Sofa,1,476,476,62.4,Card,2024-02-27
ORD00121,Maria Sherman,Rasmussenport,South,Clothing,Shoes,3,2100,6300,1151.59,Cash,2025-08-02
ORD00122,Michele Olson,New David,West,Furniture,Chair,10,3233,32330,6625.31,Cash,2024-09-03
ORD00123,Katie Richards MD,Lake Michaelmouth,West,Furniture,Bed,5,3864,19320,2199.23,Card,2024-01-10
ORD00124,Brian Reeves,Heatherfurt,East,Sports,Cricket Bat,2,3718,7436,2128.99,Net Banking,2025-08-24
ORD00125,Belinda Estrada,New Seanmouth,North,Clothing,Shoes,5,1731,8655,2595.14,Cash,2025-05-09
ORD00126,Tyler Johnson,Stacystad,North,Groceries,Bread,10,2523,25230,7522.91,Net Banking,2024-10-29
ORD00127,Nicolas Mcintyre,South David,East,Clothing,T-Shirt,10,501,5010,1391.05,Cash,2025-05-23
ORD00128,Brent Diaz,Burnsville,South,Sports,Tennis Racket,4,1657,6628,1360.22,UPI,2025-11-25
ORD00129,Megan Burns,Pooleport,North,Electronics,Tablet,8,373,2984,581.56,Card,2024-05-14
ORD00130,Joanne Malone,Port Christianview,East,Clothing,Shoes,3,1744,5232,434.47,Card,2025-07-06
ORD00131,Pamela Brandt,Lake Jennifer,North,Furniture,Sofa,8,2517,20136,4764.98,Net Banking,2024-12-12
ORD00132,Courtney Douglas,West Jorgechester,East,Electronics,Phone,4,3355,13420,3916.19,UPI,2025-07-24
ORD00133,Gary Flores,Tannerside,East,Groceries,Rice,5,4495,22475,1818.16,Net Banking,2025-01-12
ORD00134,Patricia Compton,New Kennethside,East,Clothing,T-Shirt,4,3962,15848,891.55,Cash,2025-07-28
ORD00135,Sharon Flores,Michaelberg,North,Electronics,Headphones,5,3444,17220,1363.29,Card,2024-02-16
ORD00136,Cory Carpenter,East Caleb,West,Groceries,Rice,2,2023,4046,1099.76,Net Banking,2024-05-18
ORD00137,Christine Frank,South Kyleberg,North,Clothing,Shoes,10,1365,13650,3703.97,Net Banking,2025-11-01
ORD00138,Carrie Baker,East Paulborough,West,Sports,Gym Gloves,5,368,1840,409.53,Net Banking,2024-08-10
ORD00139,Kathleen Glover,Robynfort,East,Furniture,Sofa,2,3109,6218,1157.27,UPI,2025-10-22
ORD00140,Jared Wilson,West Victoriaton,North,Groceries,Bread,4,1100,4400,1263.91,Cash,2025-04-10
ORD00141,Joseph Delgado,Noahmouth,South,Sports,Football,1,2832,2832,314.05,UPI,2024-05-08
ORD00142,Nicole Hall,Lewisburgh,East,Sports,Cricket Bat,10,1869,18690,4733.49,Cash,2024-08-26
ORD00143,Ian Walters,Port Coreymouth,East,Sports,Football,5,1285,6425,1907.47,Cash,2025-07-07
ORD00144,Jesse Russell,East Jessica,East,Electronics,Laptop,3,221,663,92.53,UPI,2024-08-31
ORD00145,Angela Myers,West Hunter,North,Furniture,Sofa,1,1138,1138,267.92,UPI,2025-06-22
ORD00146,Cameron Collins,South Masonfort,South,Groceries,Eggs,6,4304,25824,5123.91,UPI,2025-04-07
ORD00147,Brianna Douglas,Lake Bryanbury,West,Sports,Tennis Racket,8,355,2840,185.19,Net Banking,2025-05-05
ORD00148,Aaron Simpson,Murrayburgh,South,Electronics,Headphones,8,702,5616,1543.37,UPI,2024-11-25
ORD00149,Steven Khan,New Kimberlyhaven,West,Furniture,Sofa,10,4895,48950,9158.01,Card,2024-11-28
ORD00150,Yolanda Campbell,Smithton,South,Groceries,Eggs,2,1037,2074,545.87,Net Banking,2025-10-28
ORD00151,John Klein,North Scottstad,West,Groceries,Milk,7,2876,20132,5171.0,UPI,2025-02-12
ORD00152,Lisa Mathews,Moniqueport,West,Clothing,Shoes,6,2188,13128,1884.86,UPI,2024-06-05
ORD00153,Kristi Gray,Johnberg,South,Electronics,Laptop,2,3637,7274,539.3,UPI,2025-01-16
ORD00154,Brian Miller,New Philipchester,West,Sports,Tennis Racket,2,3465,6930,959.11,UPI,2025-11-12
ORD00155,Scott Hicks,Schmitttown,South,Clothing,Jacket,6,948,5688,1106.2,Net Banking,2024-08-05
ORD00156,David Stewart,New Thomas,South,Furniture,Chair,6,4656,27936,3963.85,Net Banking,2024-10-12
ORD00157,Justin White,Stacymouth,East,Sports,Football,10,2290,22900,1310.76,Card,2024-10-06
ORD00158,Lucas Gonzales,Josephland,North,Clothing,T-Shirt,3,1273,3819,731.65,Cash,2025-02-14
ORD00159,Jack Spencer,West Theresa,East,Electronics,Laptop,9,1862,16758,2413.97,Cash,2025-04-09
ORD00160,Melissa Fuller,Melissafort,South,Clothing,Jacket,6,4749,28494,5671.9,Cash,2024-02-23
ORD00161,Jamie Ruiz,New Savannah,West,Sports,Football,2,2329,4658,748.91,Net Banking,2025-03-10
ORD00162,Tiffany Sanders,South Stephenborough,North,Groceries,Bread,4,4297,17188,1348.47,Card,2025-03-16
ORD00163,Lindsey Schmitt,Jamesport,North,Sports,Gym Gloves,9,2626,23634,1450.05,UPI,2025-02-08
ORD00164,Ernest Mccarthy,Lake William,East,Furniture,Sofa,4,1224,4896,1180.13,UPI,2024-10-23
ORD00165,Joseph Acosta,East Kennethshire,South,Electronics,Headphones,7,1539,10773,886.58,Card,2025-06-29
ORD00166,Lauren Scott,Codyville,East,Electronics,Headphones,1,3673,3673,200.86,Net Banking,2024-03-20
ORD00167,Amy Shaw,East Brian,East,Sports,Gym Gloves,7,2471,17297,1362.89,Cash,2024-01-22
ORD00168,Helen Smith,New Kirk,South,Sports,Gym Gloves,6,821,4926,784.11,Net Banking,2024-04-18
ORD00169,Tiffany Velasquez,North Dennisshire,East,Sports,Gym Gloves,9,744,6696,997.31,Cash,2024-11-13
ORD00170,Brian Gordon,Julieton,South,Clothing,Jeans,2,4281,8562,1783.52,Card,2025-06-27
ORD00171,Robert Mills,Jonesport,South,Clothing,Jeans,4,942,3768,326.35,Cash,2024-07-21
ORD00172,Hannah Orozco,Leeton,West,Electronics,Phone,8,3900,31200,7444.68,Card,2025-08-16
ORD00173,Harold Reed,Aprilside,East,Clothing,Jeans,8,659,5272,881.64,Card,2025-10-08
ORD00174,Stephen Mcknight,Butlerland,West,Sports,Football,6,4256,25536,1750.43,UPI,2025-04-17
ORD00175,Jonathan Jones,Wigginsfort,West,Electronics,Tablet,5,728,3640,768.65,Net Banking,2024-04-02
ORD00176,Matthew Wilcox,Joshuahaven,West,Sports,Football,8,4783,38264,8148.68,Cash,2024-11-25
ORD00177,Ryan Cox,Justinshire,South,Electronics,Headphones,2,2913,5826,1722.14,UPI,2024-03-27
ORD00178,Mrs. Elizabeth Meadows,Robertmouth,East,Furniture,Bed,8,4393,35144,6350.06,Card,2024-06-11
ORD00179,Olivia Martin,West Tina,East,Clothing,Shoes,7,2871,20097,4415.8,UPI,2024-02-23
ORD00180,Troy Fernandez,Whitefurt,South,Clothing,T-Shirt,9,3266,29394,3557.75,Card,2025-11-03
ORD00181,Victoria Johnston,Port Davidmouth,West,Electronics,Phone,6,2641,15846,4625.83,Cash,2025-12-16
ORD00182,Mr. Michael Martin,Lynchbury,South,Sports,Football,5,4678,23390,3372.13,UPI,2024-12-02
ORD00183,Nicole Elliott,Garciafurt,East,Groceries,Bread,1,3070,3070,390.55,Net Banking,2024-08-07
ORD00184,Kimberly Smith,North Carolview,North,Furniture,Table,3,1369,4107,284.58,Card,2024-04-13
ORD00185,Terry Wright,Lake Ronald,South,Sports,Cricket Bat,10,3186,31860,2821.62,Net Banking,2024-07-04
ORD00186,Joseph Hardy,New Michaelberg,East,Electronics,Headphones,6,2045,12270,3587.71,Net Banking,2025-09-17
ORD00187,Lawrence Webb,Brandyberg,East,Furniture,Table,5,3942,19710,5439.83,Net Banking,2024-07-17
ORD00188,Kevin Huang,Carolynside,South,Groceries,Bread,7,4219,29533,5371.02,Cash,2024-06-14
ORD00189,Amanda Davis,South Nataliemouth,North,Clothing,T-Shirt,8,3140,25120,4738.52,Card,2024-04-15
ORD00190,Jordan Sullivan,Chambersview,West,Electronics,Phone,5,3780,18900,5222.57,UPI,2024-05-30
ORD00191,Jenny Cannon,Port Mark,East,Furniture,Bed,6,318,1908,293.31,Cash,2025-02-09
ORD00192,Anna Blair,Brentmouth,East,Groceries,Rice,6,1939,11634,663.68,Cash,2024-04-11
ORD00193,Brianna Hall,Lake Julie,West,Furniture,Chair,5,3970,19850,4446.76,Net Banking,2024-05-22
ORD00194,Latoya Whitehead,East Christopher,West,Sports,Football,2,255,510,58.13,UPI,2024-06-02
ORD00195,Michelle Wallace,Kellyton,West,Clothing,Jeans,5,1098,5490,340.04,UPI,2025-03-05
ORD00196,Karen Hensley,Hernandezport,South,Electronics,Headphones,10,4491,44910,2430.03,Cash,2025-06-11
ORD00197,Daniel Rose,Lake Katherinemouth,South,Clothing,Shoes,1,2990,2990,329.32,UPI,2025-03-02
ORD00198,Jose Cummings,Garcialand,North,Sports,Tennis Racket,2,4409,8818,1640.33,Net Banking,2025-06-03
ORD00199,George Montgomery,Jacquelineberg,East,Groceries,Rice,7,3158,22106,2507.1,UPI,2024-01-17
ORD00200,Alexander Sanders,West Howard,South,Clothing,Jeans,2,4866,9732,2275.31,UPI,2024-12-06
ORD00201,Joshua Thomas,Nicholasberg,South,Clothing,Jacket,3,3906,11718,3459.21,Cash,2025-05-05
ORD00202,Cassandra Thomas,Sullivanfurt,North,Electronics,Headphones,1,2503,2503,251.3,Card,2024-07-23
ORD00203,Claire Shelton,North Richardbury,South,Clothing,Shoes,9,3978,35802,4057.38,Card,2025-10-24
ORD00204,Janet Garcia,Greenshire,West,Clothing,T-Shirt,6,2338,14028,1137.93,Net Banking,2025-01-11
ORD00205,Dustin Ryan,Lake Josephtown,East,Groceries,Eggs,6,1630,9780,1702.22,Card,2025-05-24
ORD00206,Melissa Scott,Sarahtown,East,Electronics,Headphones,2,3627,7254,1455.25,Card,2024-07-03
ORD00207,Dr. Anna Gray,East Craigfort,West,Electronics,Laptop,6,2521,15126,1915.31,Cash,2025-09-09
ORD00208,Heidi Bray,New Amy,West,Groceries,Bread,8,446,3568,826.72,Card,2024-12-27
ORD00209,Sherry Wilson,Port Darren,South,Electronics,Laptop,7,3076,21532,3838.54,UPI,2025-11-26
ORD00210,Deanna Knapp,Lake Amberfurt,East,Furniture,Bed,1,1134,1134,75.76,Card,2025-10-22
ORD00211,Nathan Garner,South Jessicaberg,East,Groceries,Rice,10,1356,13560,2980.02,Net Banking,2025-01-14
ORD00212,Renee Chapman,Maryside,East,Electronics,Phone,9,3106,27954,4179.36,Cash,2025-10-27
ORD00213,Harry Gilmore,Jasonstad,North,Electronics,Laptop,3,4188,12564,2254.44,Card,2025-07-29
ORD00214,Garrett Meyer,East Steven,South,Clothing,Shoes,4,2439,9756,2180.42,UPI,2025-05-17
ORD00215,Justin Ayala,Carrollshire,North,Furniture,Chair,8,1514,12112,3326.8,Card,2025-03-31
ORD00216,Carlos Castro,Ronaldbury,South,Clothing,T-Shirt,9,4541,40869,5010.15,Cash,2024-11-03
ORD00217,Michael Fuller,Ericberg,West,Clothing,Jeans,2,1746,3492,866.07,UPI,2024-08-30
ORD00218,Mary Hayes,New William,North,Clothing,Jacket,8,4619,36952,3046.43,Card,2024-03-29
ORD00219,Michael Bradley,East Joseph,North,Groceries,Eggs,9,3465,31185,7555.85,Cash,2025-08-11
ORD00220,Miguel Rose II,South Kathleen,South,Clothing,T-Shirt,8,3916,31328,6893.01,Cash,2024-12-18
ORD00221,Jennifer Sanchez,Hartstad,South,Furniture,Bed,9,553,4977,1283.31,Card,2025-06-14
ORD00222,Christopher Lowery,Heatherstad,East,Furniture,Table,6,1947,11682,1594.66,UPI,2025-06-15
ORD00223,David Crane,New Carla,North,Clothing,Jeans,9,2348,21132,1717.87,Cash,2024-11-06
ORD00224,Brandi Johnson,Scottbury,North,Sports,Cricket Bat,3,2865,8595,2240.14,UPI,2025-07-31
ORD00225,Alex Harrington,Port Reginamouth,West,Electronics,Laptop,10,2268,22680,4825.91,UPI,2025-08-08
ORD00226,Cynthia Wolf,Allisonton,West,Groceries,Bread,5,4056,20280,2255.53,Card,2025-12-02
ORD00227,Richard Johnson,Gregorymouth,West,Groceries,Rice,1,1394,1394,222.9,Cash,2025-05-10
ORD00228,Billy Thomas,Lovemouth,West,Clothing,Jeans,6,2715,16290,3804.53,Cash,2024-12-19
ORD00229,Dana Vargas,South Nicoleborough,West,Clothing,T-Shirt,6,2080,12480,2079.39,Cash,2024-09-30
ORD00230,Peter Berger,Amandastad,West,Furniture,Chair,1,2477,2477,709.28,Cash,2025-09-22
ORD00231,Mark Moran,Lake Adammouth,West,Furniture,Sofa,10,2661,26610,2593.37,Net Banking,2024-06-12
ORD00232,Karen Hardin,New Sandra,West,Groceries,Bread,8,289,2312,167.65,Cash,2025-02-06
ORD00233,Julie Reyes,Vincentview,West,Furniture,Sofa,1,514,514,61.85,Card,2025-09-03
ORD00234,Andrea Miller,Boydshire,East,Sports,Football,2,3630,7260,606.09,Net Banking,2024-09-27
ORD00235,Michael Collier,Cindychester,East,Clothing,T-Shirt,7,519,3633,699.61,Card,2024-07-18
ORD00236,Kim Brown,Lake Thomasside,North,Electronics,Headphones,9,3789,34101,8221.79,Cash,2024-10-13
ORD00237,Janice Whitney,Lopezmouth,South,Electronics,Headphones,6,2877,17262,3270.42,Cash,2025-01-09
ORD00238,Thomas Henderson,West Crystalfurt,East,Sports,Gym Gloves,9,429,3861,236.78,Net Banking,2024-05-20
ORD00239,George Contreras,Smithburgh,East,Sports,Gym Gloves,3,4323,12969,1101.65,Cash,2025-09-19
ORD00240,Samantha Lee,Jeffreyshire,West,Groceries,Bread,10,2855,28550,5048.46,Card,2025-06-05
ORD00241,William Munoz,Saraburgh,East,Groceries,Rice,6,2813,16878,3687.03,UPI,2025-03-02
ORD00242,Tammy Diaz,East Donna,West,Sports,Gym Gloves,5,4838,24190,4702.74,Cash,2024-02-22
ORD00243,Whitney Gibbs,Allenport,North,Sports,Gym Gloves,3,2084,6252,361.94,Cash,2025-12-18
